,fname,label,manually_verified,fold
0,00044347.wav,Hi-hat,0,1
1,001ca53d.wav,Saxophone,1,3
2,002d256b.wav,Trumpet,0,4
3,0033e230.wav,Glockenspiel,1,4
4,00353774.wav,Cello,1,1
5,003b91e8.wav,Cello,0,2
6,003da8e5.wav,Knock,1,4
7,0048fd00.wav,Gunshot_or_gunfire,1,2
8,004ad66f.wav,Clarinet,0,1
9,0063ab88.wav,Computer_keyboard,0,1
10,006f2f32.wav,Hi-hat,1,1
11,0075d39c.wav,Keys_jangling,0,1
12,00780200.wav,Snare_drum,0,4
13,0079d310.wav,Writing,0,4
14,0091fc7f.wav,Cello,1,3
15,0097160c.wav,Laughter,1,1
16,00ad7068.wav,Laughter,0,2
17,00c5808a.wav,Tearing,0,2
18,00c82919.wav,Fart,0,2
19,00c934d7.wav,Laughter,1,2
20,00c9e799.wav,Oboe,0,1
21,00cb787c.wav,Flute,1,4
22,00ce569f.wav,Hi-hat,0,1
23,00d1fe46.wav,Cough,0,3
24,00d3bba3.wav,Telephone,1,1
25,00d40fa2.wav,Snare_drum,0,3
26,00d9fa61.wav,Flute,0,3
27,00e2b4cd.wav,Bark,1,2
28,00f88dc5.wav,Glockenspiel,1,2
29,00fbb28b.wav,Chime,0,4
30,00fcbab2.wav,Bass_drum,0,4
31,010aa387.wav,Fart,0,2
32,011a2185.wav,Cello,1,2
33,0120d246.wav,Bus,0,2
34,01235a12.wav,Squeak,0,1
35,01257aad.wav,Scissors,1,2
36,01302128.wav,Harmonica,0,4
37,013264d3.wav,Squeak,0,4
38,013c3135.wav,Clarinet,0,4
39,01506d76.wav,Scissors,0,2
40,015cf474.wav,Clarinet,0,2
41,0160d55e.wav,Gong,1,4
42,01638f61.wav,Writing,0,1
43,0172a2a5.wav,Microwave_oven,1,2
44,017ea24e.wav,Burping_or_eructation,0,2
45,01811e48.wav,Harmonica,0,4
46,0184c390.wav,Cello,0,4
47,018863f5.wav,Double_bass,0,4
48,018a10bb.wav,Double_bass,0,3
49,018b1df6.wav,Shatter,1,1
50,018d1dc4.wav,Hi-hat,0,1
51,0193042e.wav,Fireworks,0,2
52,01974c7c.wav,Hi-hat,0,3
53,019aae9d.wav,Fireworks,0,2
54,019d2a2c.wav,Bark,1,3
55,01a36643.wav,Tambourine,0,2
56,01a39e95.wav,Shatter,0,2
57,01a59a61.wav,Gong,0,3
58,01a59c11.wav,Harmonica,1,4
59,01a5dc85.wav,Double_bass,0,1
60,01b9f44a.wav,Telephone,1,4
61,01c2f88b.wav,Bass_drum,1,2
62,01d2475c.wav,Writing,0,2
63,01d4dafd.wav,Harmonica,1,1
64,01df7ada.wav,Shatter,0,2
65,01e723f5.wav,Harmonica,1,4
66,01ec7a01.wav,Tearing,0,3
67,01ee18fd.wav,Microwave_oven,1,4
68,01f2e70b.wav,Gunshot_or_gunfire,1,1
69,01fc4661.wav,Oboe,1,2
70,020eb9f6.wav,Bark,1,2
71,021f8009.wav,Fart,0,2
72,022092bc.wav,Keys_jangling,0,4
73,02267a1a.wav,Squeak,0,2
74,02274ee8.wav,Burping_or_eructation,0,4
75,022a3507.wav,Bus,1,4
76,022cc908.wav,Knock,1,3
77,0231b9f3.wav,Double_bass,0,3
78,02328c03.wav,Computer_keyboard,0,2
79,0236dccb.wav,Cowbell,0,4
80,023d3434.wav,Microwave_oven,0,2
81,0244bb9e.wav,Fireworks,0,1
82,024a193f.wav,Laughter,1,3
83,024c4c6d.wav,Bass_drum,1,4
84,024da466.wav,Tambourine,1,2
85,0256c2f2.wav,Keys_jangling,1,4
86,0259e5d2.wav,Hi-hat,0,2
87,025f3fd2.wav,Hi-hat,1,1
88,025f7eac.wav,Knock,1,2
89,0262817d.wav,Fart,0,3
90,0266774c.wav,Cowbell,0,3
91,027482e2.wav,Electric_piano,1,1
92,027aa77c.wav,Clarinet,1,1
93,027aee2a.wav,Fireworks,1,4
94,027cd3fd.wav,Meow,1,3
95,0286fc27.wav,Double_bass,1,2
96,029632ad.wav,Cello,0,2
97,029b22f3.wav,Keys_jangling,0,3
98,029ee867.wav,Gunshot_or_gunfire,1,3
99,02a3243a.wav,Telephone,1,2
100,02ac1057.wav,Flute,0,3
101,02c095b4.wav,Tearing,0,1
102,02c9a1f1.wav,Writing,0,4
103,02d367e4.wav,Clarinet,1,4
104,02d6b747.wav,Cough,1,3
105,02d7fba3.wav,Double_bass,0,2
106,02dbfc78.wav,Cello,0,3
107,02e9392e.wav,Tambourine,1,1
108,02eed858.wav,Harmonica,1,3
109,02f8e94d.wav,Clarinet,0,4
110,0313ea1a.wav,Flute,0,2
111,032f7280.wav,Drawer_open_or_close,0,3
112,03320f05.wav,Applause,0,4
113,0338f669.wav,Cello,0,1
114,034beca1.wav,Fireworks,0,1
115,034e4ffa.wav,Trumpet,0,3
116,0350156b.wav,Keys_jangling,0,3
